"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow_NPV_ndredge_ncheck_buff3","  -7885","   7066"," 23164","   7180","1.0e+03","8.2e+03"," 1012.1","PA"
"cashflow_NPV_ndredge_ncheck_buff4","  -6288","   7645"," 24214","   7894","8.4e+02","8.7e+03","  837.3","PA"
"cashflow_NPV_ndredge_ncheck_buff5","  -6149","   8161"," 25399","   8456","8.1e+02","9.3e+03","  808.4","PA"
"cashflow_NPV_ndredge_ncheck_buff6","  -5619","   8828"," 26126","   8970","7.3e+02","9.7e+03","  730.2","PA"
"cashflow_NPV_ndredge_ncheck_buff7","  -4423","   9238"," 27261","   9542","5.9e+02","1.0e+04","  588.7","PA"
"cashflow_NPV_ndredge_ncheck_buff8","  -3548","   9651"," 27723","  10002","5.0e+02","1.1e+04","  503.3","PA"
"cashflow_NPV_ndredge_ncheck_buff9","  -2828","  10163"," 28618","  10367","4.4e+02","1.1e+04","  438.8","PA"
"cashflow_NPV_ndredge_ncheck_buff10","  -2074","  10630"," 29100","  10799","3.5e+02","1.1e+04","  353.7","PA"
"cashflow_NPV_ndredge_ncheck_buff11","  -1508","  11001"," 29045","  11060","2.9e+02","1.1e+04","  286.6","PA"
"cashflow_NPV_ndredge_ncheck_buff12","  -1305","  11490"," 29745","  11398","2.5e+02","1.2e+04","  250.0","PA"
"cashflow_NPV_ndredge_ncheck_buff13","   -973","  11894"," 30197","  11666","1.8e+02","1.2e+04","  184.1","PA"
"cashflow_NPV_ndredge_ncheck_buff14","   -883","  12126"," 29944","  11812","1.5e+02","1.2e+04","  153.4","PA"
"cashflow_NPV_ndredge_ncheck_buff15","   -835","  12438"," 30529","  12032","1.5e+02","1.2e+04","  150.3","PA"
"cashflow_NPV_ndredge_ncheck_buff16","   -736","  12875"," 30041","  12143","1.2e+02","1.2e+04","  124.7","PA"
"cashflow_NPV_ndredge_ncheck_buff17","   -649","  13137"," 30326","  12311","1.1e+02","1.2e+04","  113.3","PA"
"cashflow_NPV_ndredge_ncheck_buff18","   -582","  13381"," 30534","  12461","9.2e+01","1.3e+04","   92.1","PA"
"cashflow_NPV_ndredge_ncheck_buff19","   -540","  13453"," 30789","  12603","8.7e+01","1.3e+04","   87.2","PA"
"cashflow_NPV_ndredge_ncheck_buff20","   -521","  13789"," 30485","  12674","8.2e+01","1.3e+04","   81.6","PA"
"cashflow_NPV_ndredge_ncheck_buff21","   -453","  13840"," 30506","  12722","7.2e+01","1.3e+04","   71.8","PA"
"cashflow_NPV_ndredge_ncheck_buff22","   -422","  13960"," 30581","  12747","6.6e+01","1.3e+04","   65.9","PA"
"cashflow_NPV_ndredge_ncheck_buff23","   -398","  14024"," 30176","  12804","6.0e+01","1.3e+04","   60.5","PA"
"cashflow_NPV_ndredge_ncheck_buff24","   -361","  14130"," 30500","  12832","5.4e+01","1.3e+04","   54.4","PA"
"cashflow_NPV_ndredge_ncheck_buff25","   -340","  14154"," 30133","  12809","5.2e+01","1.3e+04","   51.5","PA"
"cashflow_NPV_ndredge_ncheck_buff26","   -316","  14098"," 30057","  12777","5.0e+01","1.3e+04","   49.6","PA"
"cashflow_NPV_ndredge_ncheck_buff27","   -305","  14246"," 29840","  12755","4.6e+01","1.3e+04","   45.9","PA"
"cashflow_NPV_ndredge_ncheck_buff28","   -274","  14052"," 29636","  12687","4.2e+01","1.3e+04","   41.6","PA"
"cashflow_NPV_ndredge_ncheck_buff29","   -299","  13955"," 29555","  12573","4.3e+01","1.3e+04","   43.4","PA"
"cashflow_NPV_ndredge_ncheck_buff30","   -269","  14070"," 28849","  12523","4.0e+01","1.3e+04","   39.9","PA"
